mcc_code,category,risk_level
0742,Veterinary Services,MEDIUM
0763,Agricultural Cooperatives,MEDIUM
0780,Horticultural and Landscaping Services,MEDIUM
1520,General Contractors-Residential and Commercial,MEDIUM
1711,"Air Conditioning, Heating and Plumbing Contractors",MEDIUM
1731,Electrical Contractors,MEDIUM
1740,"Insulation, Masonry, Plastering, Stonework and Tile Setting Contractors",MEDIUM
1750,Carpentry Contractors,MEDIUM
1761,"Roofing and Siding, Sheet Metal Work Contractors",MEDIUM
1771,Concrete Work Contractors,MEDIUM
1799,"Contractors, Special Trade Contractors-not elsewhere classified",MEDIUM
2741,Miscellaneous Publishing and Printing,MEDIUM
2791,"Typesetting, Plate Making and Related Services",MEDIUM
2842,"Sanitation, Polishing and Specialty Cleaning Preparations",MEDIUM
3000,United Airlines,MEDIUM
3001,American Airlines,MEDIUM
3005,British Airways,MEDIUM
3007,Air France,MEDIUM
3008,Lufthansa German Airlines,MEDIUM
3351,Affiliated Auto Rental,MEDIUM
3355,Sixt Car Rental,MEDIUM
3357,Hertz,MEDIUM
3389,Avis Rent-A-Car,MEDIUM
3405,Enterprise Rent-A-Car,MEDIUM
3501,Holiday Inns,MEDIUM
3502,Best Western,MEDIUM
3503,Sheraton,MEDIUM
3504,Hilton,MEDIUM
3509,Marriott,MEDIUM
4011,Railroads-Freight,MEDIUM
4111,"Transportation-Suburban and Local Commuter Passenger, including Ferries",MEDIUM
4112,Passenger Railways,MEDIUM
4119,Ambulance Services,MEDIUM
4121,Taxicabs and Limousines,MEDIUM
4131,Bus Lines,MEDIUM
4214,"Motor Freight Carriers, Trucking-Local/Long Distance, Moving and Storage Companies, Local Delivery",MEDIUM
4215,"Courier Services-Air and Ground, Freight Forwarders",MEDIUM
4225,"Public Warehousing-Farm Products, Refrigerated Goods, Household Goods Storage",MEDIUM
4411,Cruise Lines,MEDIUM
4457,Boat Leases and Boat Rentals,MEDIUM
4468,"Marinas, Marine Service/Supplies",MEDIUM
4511,"Air Carriers, Airlines-not elsewhere classified",MEDIUM
4582,"Airports, Airport Terminals, Flying Fields",MEDIUM
4722,Travel Agencies and Tour Operators,MEDIUM
4723,Package Tour Operators (Germany Only),MEDIUM
4761,Telemarketing of Travel Related Services and Vitamins,MEDIUM
4784,"Bridge and Road Fees, Tolls",MEDIUM
4789,Transportation Services Not Elsewhere Classified,MEDIUM
4812,Telecommunication Equipment Including Telephone Sales,MEDIUM
4813,Key-Entry Telecom Merchant providing single local and long-distance phone calls using a central access number in a non-face-to-face environment using key entry,MEDIUM
4814,Telecommunication Services including but not limited to prepaid phone services and recurring phone services,MEDIUM
4816,Computer Network/Information Services,MEDIUM
4821,Telegraph Services,MEDIUM
4829,Wire Transfer Money Orders / Money Transfer,HIGH
4899,"Cable, Satellite, and Other Pay Television and Radio Services",MEDIUM
4900,"Utilities-Electric, Gas, Heating Oil, Sanitary, Water",LOW
5013,Motor Vehicle Supplies and New Parts,MEDIUM
5021,Office and Commercial Furniture,MEDIUM
5039,Construction Materials Not Elsewhere Classified,MEDIUM
5044,"Office, Photographic, Photocopy and Microfilm Equipment",MEDIUM
5045,"Computers, Computer Peripheral Equipment, Software",MEDIUM
5046,Commercial Equipment Not Elsewhere Classified,MEDIUM
5047,Dental/Laboratory/Medical/Ophthalmic Hospital Equipment and Supplies,LOW
5051,Metal Service Centers and Offices,MEDIUM
5065,Electrical Parts and Equipment,MEDIUM
5072,Hardware Equipment and Supplies,MEDIUM
5074,Plumbing and Heating Equipment,MEDIUM
5085,Industrial Supplies Not Elsewhere Classified,MEDIUM
5094,"Precious Stones and Metals, Watches and Jewelry",HIGH
5099,Durable Goods Not Elsewhere Classified,MEDIUM
5111,"Stationery, Office Supplies, Printing and Writing Paper",MEDIUM
5122,"Drugs, Drug Proprietors and Druggists Sundries",MEDIUM
5131,"Piece Goods, Notions, and Other Dry Goods",MEDIUM
5137,"Men's, Women's and Children's Uniforms and Commercial Clothing",MEDIUM
5139,Commercial Footware,MEDIUM
